lottery,date,jackpot,cash_value,match_5_bonus_winners,match_5_bonus_prize,match_5_bonus_multiplier_winners,match_5_bonus_multiplier_prize,match_5_winners,match_5_prize,match_5_multiplier_winners,match_5_multiplier_prize,match_4_bonus_winners,match_4_bonus_prize,match_4_bonus_multiplier_winners,match_4_bonus_multiplier_prize,match_4_winners,match_4_prize,match_4_multiplier_winners,match_4_multiplier_prize,match_3_bonus_winners,match_3_bonus_prize,match_3_bonus_multiplier_winners,match_3_bonus_multiplier_prize,match_3_winners,match_3_prize,match_3_multiplier_winners,match_3_multiplier_prize,match_2_bonus_winners,match_2_bonus_prize,match_2_bonus_multiplier_winners,match_2_bonus_multiplier_prize,match_1_bonus_winners,match_1_bonus_prize,match_1_bonus_multiplier_winners,match_1_bonus_multiplier_prize,match_0_bonus_winners,match_0_bonus_prize,match_0_bonus_multiplier_winners,match_0_bonus_multiplier_prize
megamillions,2010-09-24,$16 Million,$10.9 Million,,,,,3,250000,1,1,,,,,987,150,77,600,,,,,20382,10,1445,40,,,,,,,,,,,,
megamillions,2010-09-28,$23 Million,$15.9 Million,,,,,5,250000,1,1,,,,,1109,150,85,450,,,,,21581,10,1452,30,,,,,,,,,,,,
megamillions,2010-10-01,$32 Million,$21.8 Million,,,,,6,250000,0,1,,,,,1462,150,117,600,,,,,21630,10,1389,40,,,,,,,,,,,,
megamillions,2010-10-05,$41 Million,$28.1 Million,,,,,2,250000,0,1,,,,,1282,150,106,600,,,,,25291,10,1705,40,,,,,,,,,,,,
megamillions,2010-10-08,$51 Million,$35.1 Million,,,,,4,250000,0,1,,,,,1191,150,82,600,,,,,24776,10,1538,40,,,,,,,,,,,,
megamillions,2010-10-12,$61 Million,$42.0 Million,,,,,4,250000,0,1,,,,,1384,150,86,600,,,,,25269,10,1585,40,,,,,,,,,,,,
megamillions,2010-10-15,$72 Million,$48.5 Million,,,,,4,250000,0,1,,,,,1824,150,106,600,,,,,38419,10,2346,40,,,,,,,,,,,,
megamillions,2010-10-19,$86 Million,$58.2 Million,,,,,11,250000,1,1,,,,,1637,150,87,600,,,,,27404,10,1701,40,,,,,,,,,,,,
megamillions,2010-10-22,$101 Million,$68.2 Million,,,,,6,250000,2,1,,,,,2202,150,138,600,,,,,43950,10,2411,40,,,,,,,,,,,,
megamillions,2010-10-26,$118 Million,$79.5 Million,,,,,7,250000,0,1,,,,,2335,150,126,600,,,,,44588,10,2417,40,,,,,,,,,,,,
megamillions,2010-10-29,$140 Million,$94.0 Million,,,,,6,250000,0,1,,,,,2982,150,148,600,,,,,52295,10,2603,40,,,,,,,,,,,,
megamillions,2010-11-02,$12 Million,$8.1 Million,,,,,6,250000,0,1,,,,,1372,150,107,300,,,,,21350,10,1404,20,,,,,,,,,,,,
megamillions,2010-11-05,$16 Million,$10.7 Million,,,,,4,250000,1,1,,,,,1059,150,64,600,,,,,20921,10,1455,40,,,,,,,,,,,,
megamillions,2010-11-09,$25 Million,$16.7 Million,,,,,4,250000,0,1,,,,,1086,150,77,600,,,,,22582,10,1665,40,,,,,,,,,,,,
megamillions,2010-11-12,$12 Million,$7.9 Million,,,,,10,250000,0,1,,,,,1084,150,76,600,,,,,23094,10,1765,40,,,,,,,,,,,,
megamillions,2010-11-16,$16 Million,$10.4 Million,,,,,3,250000,1,1,,,,,961,150,70,450,,,,,19650,10,1542,30,,,,,,,,,,,,
megamillions,2010-11-19,$25 Million,$16.4 Million,,,,,4,250000,0,1,,,,,1051,150,76,300,,,,,20571,10,1454,20,,,,,,,,,,,,
megamillions,2010-11-23,$34 Million,$22.5 Million,,,,,5,250000,0,1,,,,,1219,150,95,600,,,,,21495,10,1646,40,,,,,,,,,,,,
megamillions,2010-11-26,$42 Million,$27.8 Million,,,,,6,250000,0,1,,,,,1130,150,70,300,,,,,21550,10,1562,20,,,,,,,,,,,,
megamillions,2010-11-30,$52 Million,$34.6 Million,,,,,4,250000,0,1,,,,,1114,150,69,600,,,,,23241,10,1622,40,,,,,,,,,,,,
megamillions,2010-12-03,$62 Million,$40.6 Million,,,,,6,250000,0,1,,,,,1794,150,134,450,,,,,33545,10,2485,30,,,,,,,,,,,,
megamillions,2010-12-07,$74 Million,$48.0 Million,,,,,5,250000,1,1,,,,,1234,150,96,600,,,,,25302,10,1792,40,,,,,,,,,,,,
megamillions,2010-12-10,$88 Million,$56.2 Million,,,,,7,250000,0,1,,,,,1697,150,105,600,,,,,30137,10,1999,40,,,,,,,,,,,,
megamillions,2010-12-14,$104 Million,$66.1 Million,,,,,8,250000,1,1,,,,,2140,150,146,450,,,,,36517,10,2387,30,,,,,,,,,,,,
megamillions,2010-12-17,$123 Million,$77.8 Million,,,,,6,250000,0,1,,,,,2213,150,121,600,,,,,46182,10,2938,40,,,,,,,,,,,,
megamillions,2010-12-21,$145 Million,$92.3 Million,,,,,10,250000,1,1,,,,,3136,150,192,600,,,,,55181,10,3615,40,,,,,,,,,,,,
megamillions,2010-12-24,$168 Million,$106.8 Million,,,,,11,250000,0,1,,,,,3373,150,200,600,,,,,64839,10,3563,40,,,,,,,,,,,,
megamillions,2010-12-28,$200 Million,$127.3 Million,,,,,17,250000,3,1,,,,,3491,150,199,600,,,,,71129,10,4149,40,,,,,,,,,,,,
megamillions,2010-12-31,$242 Million,$154.0 Million,,,,,21,250000,1,1,,,,,7535,150,383,600,,,,,154323,10,8238,40,,,,,,,,,,,,
megamillions,2011-01-04,$355 Million,$224.2 Million,,,,,67,250000,5,1,,,,,16176,150,784,600,,,,,260123,10,12144,40,,,,,,,,,,,,
megamillions,2011-01-07,$12 Million,$7.5 Million,,,,,4,250000,0,1,,,,,1126,150,84,300,,,,,21741,10,1619,20,,,,,,,,,,,,
megamillions,2011-01-11,$20 Million,$12.6 Million,,,,,4,250000,0,1,,,,,1793,150,145,600,,,,,21994,10,1643,40,,,,,,,,,,,,
megamillions,2011-01-14,$30 Million,$18.9 Million,,,,,7,250000,1,1,,,,,1268,150,96,300,,,,,27248,10,2042,20,,,,,,,,,,,,
megamillions,2011-01-18,$40 Million,$25.1 Million,,,,,6,250000,1,1,,,,,1220,150,117,600,,,,,26180,10,2505,40,,,,,,,,,,,,
megamillions,2011-01-21,$51 Million,$31.7 Million,,,,,7,250000,1,1,,,,,1668,150,153,600,,,,,30384,10,2725,40,,,,,,,,,,,,
megamillions,2011-01-25,$63 Million,$39.5 Million,,,,,6,250000,1,1,,,,,1499,150,153,600,,,,,29525,10,2694,40,,,,,,,,,,,,
megamillions,2011-01-28,$77 Million,$48.2 Million,,,,,8,250000,2,1,,,,,1454,150,136,600,,,,,29361,10,2506,40,,,,,,,,,,,,
megamillions,2011-02-01,$91 Million,$56.9 Million,,,,,8,250000,0,1,,,,,1886,150,158,600,,,,,34918,10,3130,40,,,,,,,,,,,,
megamillions,2011-02-04,$12 Million,$7.4 Million,,,,,5,250000,1,1,,,,,1093,150,113,600,,,,,22258,10,2217,40,,,,,,,,,,,,
megamillions,2011-02-08,$19 Million,$11.7 Million,,,,,9,250000,1,1,,,,,1064,150,127,300,,,,,20691,10,2163,20,,,,,,,,,,,,
megamillions,2011-02-11,$30 Million,$18.5 Million,,,,,7,250000,0,1,,,,,1403,150,150,300,,,,,28909,10,2946,20,,,,,,,,,,,,
megamillions,2011-02-15,$40 Million,$24.7 Million,,,,,2,250000,0,1,,,,,1353,150,104,600,,,,,25709,10,2476,40,,,,,,,,,,,,
megamillions,2011-02-18,$52 Million,$32.1 Million,,,,,7,250000,1,1,,,,,1772,150,174,450,,,,,26038,10,2495,30,,,,,,,,,,,,
megamillions,2011-02-22,$64 Million,$39.8 Million,,,,,6,250000,0,1,,,,,1161,150,126,600,,,,,24837,10,2571,40,,,,,,,,,,,,
megamillions,2011-02-25,$76 Million,$47.8 Million,,,,,7,250000,0,1,,,,,2502,150,240,600,,,,,40096,10,3883,40,,,,,,,,,,,,
megamillions,2011-03-01,$88 Million,$55.4 Million,,,,,8,250000,1,1,,,,,2111,150,203,450,,,,,41362,10,4167,30,,,,,,,,,,,,
megamillions,2011-03-04,$105 Million,$65.6 Million,,,,,9,250000,0,1,,,,,2757,150,245,600,,,,,52946,10,4469,40,,,,,,,,,,,,
megamillions,2011-03-08,$127 Million,$79.3 Million,,,,,7,250000,1,1,,,,,2401,150,200,600,,,,,46810,10,3934,40,,,,,,,,,,,,
megamillions,2011-03-11,$151 Million,$95.6 Million,,,,,11,250000,0,1,,,,,2722,150,204,300,,,,,53614,10,4163,20,,,,,,,,,,,,
megamillions,2011-03-15,$172 Million,$109.8 Million,,,,,18,250000,2,1,,,,,3685,150,295,600,,,,,56428,10,4111,40,,,,,,,,,,,,
megamillions,2011-03-18,$201 Million,$128.2 Million,,,,,12,250000,1,1,,,,,3777,150,267,600,,,,,71808,10,4943,40,,,,,,,,,,,,
megamillions,2011-03-22,$244 Million,$155.4 Million,,,,,26,250000,3,1,,,,,4890,150,315,600,,,,,87642,10,5476,40,,,,,,,,,,,,
megamillions,2011-03-25,$319 Million,$198.3 Million,,,,,32,250000,2,1,,,,,8455,150,467,600,,,,,166816,10,10233,40,,,,,,,,,,,,
megamillions,2011-03-29,$12 Million,$7.5 Million,,,,,2,250000,0,1,,,,,1407,150,117,600,,,,,20752,10,1990,40,,,,,,,,,,,,
megamillions,2011-04-01,$19 Million,$11.8 Million,,,,,5,250000,0,1,,,,,1314,150,99,450,,,,,25953,10,2444,30,,,,,,,,,,,,
megamillions,2011-04-05,$30 Million,$18.7 Million,,,,,6,250000,0,1,,,,,1365,150,152,300,,,,,29389,10,2838,20,,,,,,,,,,,,
megamillions,2011-04-08,$44 Million,$27.1 Million,,,,,4,250000,0,1,,,,,1347,150,110,450,,,,,28087,10,2649,30,,,,,,,,,,,,
megamillions,2011-04-12,$58 Million,$36.0 Million,,,,,5,250000,0,1,,,,,1537,150,147,300,,,,,29084,10,2693,20,,,,,,,,,,,,
megamillions,2011-04-15,$72 Million,$45.1 Million,,,,,7,250000,2,1,,,,,1693,150,137,450,,,,,31877,10,2662,30,,,,,,,,,,,,
megamillions,2011-04-19,$12 Million,$7.5 Million,,,,,4,250000,0,1,,,,,1013,150,92,600,,,,,19056,10,1734,40,,,,,,,,,,,,
megamillions,2011-04-22,$19 Million,$11.9 Million,,,,,7,250000,1,1,,,,,1127,150,118,450,,,,,23078,10,2187,30,,,,,,,,,,,,
megamillions,2011-04-26,$29 Million,$18.3 Million,,,,,3,250000,0,1,,,,,1130,150,88,450,,,,,21600,10,1917,30,,,,,,,,,,,,
megamillions,2011-04-29,$40 Million,$25.3 Million,,,,,7,250000,0,1,,,,,1493,150,133,600,,,,,31175,10,3071,40,,,,,,,,,,,,
megamillions,2011-05-03,$51 Million,$32.5 Million,,,,,5,250000,0,1,,,,,1318,150,111,300,,,,,26121,10,2387,20,,,,,,,,,,,,
megamillions,2011-05-06,$12 Million,$7.7 Million,,,,,8,250000,0,1,,,,,1107,150,98,450,,,,,24372,10,2294,30,,,,,,,,,,,,
megamillions,2011-05-10,$18 Million,$11.5 Million,,,,,1,250000,0,1,,,,,935,150,85,600,,,,,17839,10,1714,40,,,,,,,,,,,,
megamillions,2011-05-13,$27 Million,$17.4 Million,,,,,7,250000,2,1,,,,,1163,150,95,600,,,,,23946,10,2175,40,,,,,,,,,,,,
megamillions,2011-05-17,$12 Million,$7.7 Million,,,,,2,250000,1,1,,,,,1125,150,97,600,,,,,18061,10,1706,40,,,,,,,,,,,,
megamillions,2011-05-20,$16 Million,$10.3 Million,,,,,2,250000,0,1,,,,,1139,150,115,600,,,,,21920,10,2188,40,,,,,,,,,,,,
megamillions,2011-05-24,$26 Million,$16.8 Million,,,,,3,250000,0,1,,,,,1185,150,112,450,,,,,19314,10,1804,30,,,,,,,,,,,,
megamillions,2011-05-27,$35 Million,$22.8 Million,,,,,5,250000,0,1,,,,,1535,150,155,600,,,,,28657,10,2789,40,,,,,,,,,,,,
megamillions,2011-05-31,$12 Million,$7.8 Million,,,,,2,250000,1,1,,,,,743,150,66,450,,,,,17447,10,1819,30,,,,,,,,,,,,
megamillions,2011-06-03,$15 Million,$9.8 Million,,,,,3,250000,0,1,,,,,960,150,85,450,,,,,18265,10,1783,30,,,,,,,,,,,,
megamillions,2011-06-07,$24 Million,$15.6 Million,,,,,3,250000,1,1,,,,,964,150,76,600,,,,,19500,10,1815,40,,,,,,,,,,,,
megamillions,2011-06-10,$33 Million,$21.7 Million,,,,,4,250000,0,1,,,,,1169,150,128,450,,,,,28336,10,2839,30,,,,,,,,,,,,
megamillions,2011-06-14,$42 Million,$27.4 Million,,,,,7,250000,0,1,,,,,1188,150,138,600,,,,,23572,10,2285,40,,,,,,,,,,,,
megamillions,2011-06-17,$53 Million,$35.0 Million,,,,,3,250000,0,1,,,,,1289,150,117,600,,,,,24432,10,2195,40,,,,,,,,,,,,
megamillions,2011-06-21,$64 Million,$42.1 Million,,,,,5,250000,0,1,,,,,1465,150,116,450,,,,,28920,10,2643,30,,,,,,,,,,,,
megamillions,2011-06-24,$76 Million,$50.3 Million,,,,,2,250000,0,1,,,,,1379,150,105,450,,,,,28217,10,2500,30,,,,,,,,,,,,
megamillions,2011-06-28,$88 Million,$57.7 Million,,,,,4,250000,1,1,,,,,1651,150,142,600,,,,,29264,10,2560,40,,,,,,,,,,,,
megamillions,2011-07-01,$105 Million,$67.1 Million,,,,,9,250000,1,1,,,,,2339,150,187,600,,,,,42167,10,3533,40,,,,,,,,,,,,
megamillions,2011-07-05,$12 Million,$7.6 Million,,,,,2,250000,0,1,,,,,1113,150,115,300,,,,,21308,10,2239,20,,,,,,,,,,,,
megamillions,2011-07-08,$16 Million,$10.3 Million,,,,,5,250000,0,1,,,,,984,150,86,450,,,,,18491,10,1731,30,,,,,,,,,,,,
megamillions,2011-07-12,$24 Million,$15.7 Million,,,,,5,250000,1,1,,,,,1223,150,114,600,,,,,25785,10,2648,40,,,,,,,,,,,,
megamillions,2011-07-15,$33 Million,$21.4 Million,,,,,2,250000,1,1,,,,,1087,150,111,450,,,,,21845,10,2021,30,,,,,,,,,,,,
megamillions,2011-07-19,$43 Million,$27.9 Million,,,,,6,250000,0,1,,,,,1564,150,149,600,,,,,21927,10,2111,40,,,,,,,,,,,,
megamillions,2011-07-22,$53 Million,$34.4 Million,,,,,2,250000,0,1,,,,,1151,150,99,600,,,,,20864,10,1854,40,,,,,,,,,,,,
megamillions,2011-07-26,$63 Million,$40.9 Million,,,,,5,250000,1,1,,,,,1179,150,111,450,,,,,23576,10,2118,30,,,,,,,,,,,,
